Piece	i	Task	Start	Finish	Duration	Resource	Duration_%	Description	Duration_normalized
K279-1 (C)	39	V	69.4	69.5	0.1	applied	0.09	Duration: 0.1<br>In local context: V	0.0
K279-1 (C)	40	I	69.5	70.5	1.0	local	0.9	Duration: 1.0	5.0
K279-1 (C)	41	ii	70.5	72.0	1.5	applied	1.36	Duration: 1.5<br>In local context: ii	7.8
K279-1 (C)	42	I	72.0	76.9	4.9	local	4.43	Duration: 4.9	26.8
K279-1 (C)	43	ii	76.9	77.0	0.1	applied	0.09	Duration: 0.1<br>In local context: ii	0.0
K279-1 (C)	44	I	77.0	78.4	1.4	local	1.27	Duration: 1.4	7.3
K279-1 (C)	45	V	78.4	78.5	0.1	applied	0.09	Duration: 0.1<br>In local context: V	0.0
K279-1 (C)	46	I	78.5	80.9	2.4	local	2.17	Duration: 2.4	12.8
K279-1 (C)	47	ii	80.9	81.0	0.1	applied	0.09	Duration: 0.1<br>In local context: ii	0.0
K279-1 (C)	48	I	81.0	99.0	18.0	local	16.27	Duration: 18.0	100.0
K279-1 (C)	49	IV	7.5	8.5	1.0	tonic of adjacent applied chord(s)	0.9	Duration: 1.0<br>Local harmony: IV(#2)	5.0
K279-1 (C)	50	vi	10.8	11.0	0.2	tonic of adjacent applied chord(s)	0.18	Duration: 0.2<br>Local harmony: vi	0.6
K279-1 (C)	51	IV	13.1	13.4	0.3	tonic of adjacent applied chord(s)	0.27	Duration: 0.3<br>Local harmony: IV	1.1
K279-1 (C)	52	IV	14.1	14.4	0.3	tonic of adjacent applied chord(s)	0.27	Duration: 0.3<br>Local harmony: IV	1.1
K279-1 (C)	53	vi	18.0	19.0	1.0	tonic of adjacent applied chord(s)	0.9	Duration: 1.0<br>Local harmony: ii	5.0
K279-1 (C)	54	vi	22.5	22.9	0.4	tonic of adjacent applied chord(s)	0.36	Duration: 0.4<br>Local harmony: ii	1.7
K279-1 (C)	55	II	24.0	24.4	0.4	tonic of adjacent applied chord(s)	0.36	Duration: 0.4<br>Local harmony: V\\	1.7
K279-1 (C)	56	ii	41.0	42.0	1.0	tonic of adjacent applied chord(s)	0.9	Duration: 1.0<br>Local harmony: ii6	5.0
K279-1 (C)	57	I	48.5	49.0	0.5	tonic of adjacent applied chord(s)	0.45	Duration: 0.5<br>Local harmony: V6	2.2
K279-1 (C)	58	I	49.5	50.0	0.5	tonic of adjacent applied chord(s)	0.45	Duration: 0.5<br>Local harmony: V(#2)	2.2
K279-1 (C)	59	V	50.5	51.0	0.5	tonic of adjacent applied chord(s)	0.45	Duration: 0.5<br>Local harmony: V6	2.2
K279-1 (C)	60	V	51.5	54.5	3.0	tonic of adjacent applied chord(s)	2.71	Duration: 3.0<br>Local harmony: V	16.2
K279-1 (C)	61	V	66.8	67.0	0.2	tonic of adjacent applied chord(s)	0.18	Duration: 0.2<br>Local harmony: V65	0.6
K279-1 (C)	62	V	67.5	67.8	0.3	tonic of adjacent applied chord(s)	0.27	Duration: 0.3<br>Local harmony: V[V\\	1.1
K279-1 (C)	63	V	68.5	68.8	0.3	tonic of adjacent applied chord(s)	0.27	Duration: 0.3<br>Local harmony: V	1.1
K279-1 (C)	64	V	69.5	70.5	1.0	tonic of adjacent applied chord(s)	0.9	Duration: 1.0<br>Local harmony: V]\\	5.0
