Piece	i	Task	Start	Finish	Duration	Resource	Duration_%	Description	Duration_normalized
K284-1 (D)	73	iv	68.0	68.2	0.2	tonic of adjacent applied chord(s)	0.14	Duration: 0.2<br>Local harmony: iv6	0.5
K284-1 (D)	74	iv	68.5	68.8	0.3	tonic of adjacent applied chord(s)	0.21	Duration: 0.3<br>Local harmony: iv6	1.0
K284-1 (D)	75	V	70.0	72.0	2.0	tonic of adjacent applied chord(s)	1.4	Duration: 2.0<br>Local harmony: V\\	9.3
K284-1 (D)	76	IV	81.0	81.2	0.2	tonic of adjacent applied chord(s)	0.14	Duration: 0.2<br>Local harmony: IV6	0.5
K284-1 (D)	77	IV	86.0	87.0	1.0	tonic of adjacent applied chord(s)	0.7	Duration: 1.0<br>Local harmony: IV6	4.4
K284-1 (D)	78	V	119.0	120.0	1.0	tonic of adjacent applied chord(s)	0.7	Duration: 1.0<br>Local harmony: V(64)	4.4
K284-1 (D)	79	V	124.0	126.0	2.0	tonic of adjacent applied chord(s)	1.4	Duration: 2.0<br>Local harmony: V(64)	9.3
K284-1 (D)	80	V	127.0	127.5	0.5	tonic of adjacent applied chord(s)	0.35	Duration: 0.5<br>Local harmony: V	2.0
K284-2 (A)	0	I	1.0	22.2	21.2	local	22.29	Duration: 21.2	100.0
K284-2 (A)	1	V	22.2	31.0	8.8	local	9.25	Duration: 8.8	41.2
K284-2 (A)	2	I	31.0	47.0	16.0	local	16.82	Duration: 16.0	75.4
K284-2 (A)	3	vi	47.0	49.0	2.0	local	2.1	Duration: 2.0	9.0
K284-2 (A)	4	ii	49.0	50.0	1.0	applied	1.05	Duration: 1.0<br>In local context: iv	4.3
K284-2 (A)	5	vi	50.0	53.0	3.0	local	3.15	Duration: 3.0	13.7
K284-2 (A)	6	IV	53.0	58.0	5.0	local	5.26	Duration: 5.0	23.2
K284-2 (A)	7	I	58.0	65.7	7.7	local	8.1	Duration: 7.7	36.0
K284-2 (A)	8	V	65.7	66.0	0.3	applied	0.32	Duration: 0.3<br>In local context: V	0.9
K284-2 (A)	9	I	66.0	66.3	0.3	local	0.32	Duration: 0.3	0.9
K284-2 (A)	10	V	66.3	67.3	1.0	applied	1.05	Duration: 1.0<br>In local context: V	4.3
K284-2 (A)	11	I	67.3	68.0	0.7	local	0.74	Duration: 0.7	2.8
K284-2 (A)	12	i	68.0	68.6	0.6	local	0.63	Duration: 0.6	2.4
K284-2 (A)	13	V	68.6	69.0	0.4	applied	0.42	Duration: 0.4<br>In local context: V	1.4
K284-2 (A)	14	i	69.0	70.0	1.0	local	1.05	Duration: 1.0	4.3
K284-2 (A)	15	I	70.0	85.3	15.3	local	16.09	Duration: 15.3	72.0
K284-2 (A)	16	vi	85.3	85.7	0.4	applied	0.42	Duration: 0.4<br>In local context: vi	1.4
K284-2 (A)	17	I	85.7	85.8	0.1	local	0.11	Duration: 0.1	0.0
K284-2 (A)	18	ii	85.8	86.0	0.2	applied	0.21	Duration: 0.2<br>In local context: ii	0.5
K284-2 (A)	19	I	86.0	87.3	1.3	local	1.37	Duration: 1.3	5.7
K284-2 (A)	20	vi	87.3	87.7	0.4	applied	0.42	Duration: 0.4<br>In local context: vi	1.4
K284-2 (A)	21	I	87.7	87.8	0.1	local	0.11	Duration: 0.1	0.0
K284-2 (A)	22	ii	87.8	88.0	0.2	applied	0.21	Duration: 0.2<br>In local context: ii	0.5
K284-2 (A)	23	I	88.0	93.0	5.0	local	5.26	Duration: 5.0	23.2
K284-2 (A)	24	V	66.0	66.3	0.3	tonic of adjacent applied chord(s)	0.32	Duration: 0.3<br>Local harmony: V	0.9
K284-2 (A)	25	V	68.3	68.6	0.3	tonic of adjacent applied chord(s)	0.32	Duration: 0.3<br>Local harmony: VI	0.9
K284-2 (A)	26	V	69.0	70.0	1.0	tonic of adjacent applied chord(s)	1.05	Duration: 1.0<br>Local harmony: V(#764)	4.3
K284-2 (A)	27	vi	85.7	85.8	0.1	tonic of adjacent applied chord(s)	0.11	Duration: 0.1<br>Local harmony: vi	0.0
K284-2 (A)	28	ii	86.0	86.3	0.3	tonic of adjacent applied chord(s)	0.32	Duration: 0.3<br>Local harmony: ii6	0.9
K284-2 (A)	29	vi	87.7	87.8	0.1	tonic of adjacent applied chord(s)	0.11	Duration: 0.1<br>Local harmony: vi	0.0
K284-2 (A)	30	ii	88.0	89.0	1.0	tonic of adjacent applied chord(s)	1.05	Duration: 1.0<br>Local harmony: ii6	4.3
K284-3 (D)	0	I	0.0	6.0	6.0	local	2.01	Duration: 6.0	49.3
K284-3 (D)	1	V	6.0	9.0	3.0	local	1.01	Duration: 3.0	27.5
K284-3 (D)	2	II	9.0	10.0	1.0	local	0.34	Duration: 1.0	13.0
K284-3 (D)	3	I	10.0	12.5	2.5	local	0.84	Duration: 2.5	23.9
K284-3 (D)	4	V	12.5	12.0	-0.5	applied	-0.17	Duration: -0.5<br>In local context: V	2.2
K284-3 (D)	5	I	12.0	23.0	11.0	local	3.69	Duration: 11.0	85.5
K284-3 (D)	6	V	23.0	26.0	3.0	local	1.01	Duration: 3.0	27.5
K284-3 (D)	7	II	26.0	27.0	1.0	local	0.34	Duration: 1.0	13.0
K284-3 (D)	8	I	27.0	29.5	2.5	local	0.84	Duration: 2.5	23.9
K284-3 (D)	9	V	29.5	29.0	-0.5	applied	-0.17	Duration: -0.5<br>In local context: V	2.2
K284-3 (D)	10	I	29.0	36.0	7.0	local	2.35	Duration: 7.0	56.5
K284-3 (D)	11	IV	36.0	36.0	0.0	applied	0.0	Duration: 0.0<br>In local context: IV	5.8
K284-3 (D)	12	I	36.0	40.0	4.0	local	1.34	Duration: 4.0	34.8
K284-3 (D)	13	V	40.0	43.0	3.0	local	1.01	Duration: 3.0	27.5
K284-3 (D)	14	II	43.0	43.5	0.5	local	0.17	Duration: 0.5	9.4
K284-3 (D)	15	V	43.5	44.0	0.5	applied	0.17	Duration: 0.5<br>In local context: V	9.4
K284-3 (D)	16	I	44.0	46.8	2.8	local	0.94	Duration: 2.8	26.1
K284-3 (D)	17	V	46.8	46.0	-0.8	applied	-0.27	Duration: -0.8<br>In local context: V	0.0
K284-3 (D)	18	I	46.0	49.0	3.0	local	1.01	Duration: 3.0	27.5
K284-3 (D)	19	IV	49.0	49.0	0.0	applied	0.0	Duration: 0.0<br>In local context: IV	5.8
K284-3 (D)	20	I	49.0	52.8	3.8	local	1.27	Duration: 3.8	33.3
K284-3 (D)	21	vi	52.8	53.0	0.2	applied	0.07	Duration: 0.2<br>In local context: vi	7.2
K284-3 (D)	22	I	53.0	53.8	0.8	local	0.27	Duration: 0.8	11.6
K284-3 (D)	23	V	53.8	54.0	0.2	applied	0.07	Duration: 0.2<br>In local context: V	7.2
K284-3 (D)	24	I	54.0	56.8	2.8	local	0.94	Duration: 2.8	26.1
K284-3 (D)	25	vi	56.8	57.0	0.2	applied	0.07	Duration: 0.2<br>In local context: vi	7.2
K284-3 (D)	26	I	57.0	57.2	0.2	local	0.07	Duration: 0.2	7.2
K284-3 (D)	27	vi	57.2	57.5	0.3	applied	0.1	Duration: 0.3<br>In local context: vi	8.0
K284-3 (D)	28	I	57.5	57.8	0.3	local	0.1	Duration: 0.3	8.0
K284-3 (D)	29	II	57.8	57.0	-0.8	applied	-0.27	Duration: -0.8<br>In local context: V	0.0
K284-3 (D)	30	V	57.0	60.0	3.0	local	1.01	Duration: 3.0	27.5
K284-3 (D)	31	II	60.0	60.5	0.5	local	0.17	Duration: 0.5	9.4
K284-3 (D)	32	V	60.5	61.0	0.5	applied	0.17	Duration: 0.5<br>In local context: V	9.4
K284-3 (D)	33	I	61.0	61.0	0.0	local	0.0	Duration: 0.0	5.8
K284-3 (D)	34	V	61.0	61.2	0.2	applied	0.07	Duration: 0.2<br>In local context: V	7.2
K284-3 (D)	35	I	61.2	65.8	4.6	local	1.54	Duration: 4.6	39.1
K284-3 (D)	36	vi	65.8	66.0	0.2	applied	0.07	Duration: 0.2<br>In local context: vi	7.2
K284-3 (D)	37	I	66.0	66.0	0.0	local	0.0	Duration: 0.0	5.8
K284-3 (D)	38	vi	66.0	67.0	1.0	applied	0.34	Duration: 1.0<br>In local context: vi	13.0
K284-3 (D)	39	I	67.0	74.0	7.0	local	2.35	Duration: 7.0	56.5
K284-3 (D)	40	V	74.0	77.0	3.0	local	1.01	Duration: 3.0	27.5
K284-3 (D)	41	ii	77.0	78.0	1.0	local	0.34	Duration: 1.0	13.0
K284-3 (D)	42	I	78.0	88.5	10.5	local	3.52	Duration: 10.5	81.9
K284-3 (D)	43	IV	88.5	89.0	0.5	applied	0.17	Duration: 0.5<br>In local context: IV	9.4
K284-3 (D)	44	I	89.0	91.0	2.0	local	0.67	Duration: 2.0	20.3
K284-3 (D)	45	V	91.0	94.0	3.0	local	1.01	Duration: 3.0	27.5
K284-3 (D)	46	II	94.0	95.0	1.0	local	0.34	Duration: 1.0	13.0
K284-3 (D)	47	I	95.0	97.5	2.5	local	0.84	Duration: 2.5	23.9
K284-3 (D)	48	V	97.5	97.0	-0.5	applied	-0.17	Duration: -0.5<br>In local context: V	2.2
K284-3 (D)	49	I	97.0	98.0	1.0	local	0.34	Duration: 1.0	13.0
K284-3 (D)	50	V	98.0	98.5	0.5	applied	0.17	Duration: 0.5<br>In local context: V	9.4
K284-3 (D)	51	I	98.5	104.5	6.0	local	2.01	Duration: 6.0	49.3
K284-3 (D)	52	ii	104.5	104.0	-0.5	applied	-0.17	Duration: -0.5<br>In local context: ii	2.2
K284-3 (D)	53	I	104.0	104.5	0.5	local	0.17	Duration: 0.5	9.4
K284-3 (D)	54	V	104.5	105.0	0.5	applied	0.17	Duration: 0.5<br>In local context: V	9.4
K284-3 (D)	55	I	105.0	108.0	3.0	local	1.01	Duration: 3.0	27.5
K284-3 (D)	56	V	108.0	111.0	3.0	local	1.01	Duration: 3.0	27.5
K284-3 (D)	57	ii	111.0	111.5	0.5	local	0.17	Duration: 0.5	9.4
K284-3 (D)	58	V	111.5	112.0	0.5	applied	0.17	Duration: 0.5<br>In local context: V	9.4
K284-3 (D)	59	I	112.0	112.5	0.5	local	0.17	Duration: 0.5	9.4
K284-3 (D)	60	IV	112.5	112.0	-0.5	applied	-0.17	Duration: -0.5<br>In local context: IV	2.2
K284-3 (D)	61	I	112.0	114.5	2.5	local	0.84	Duration: 2.5	23.9
K284-3 (D)	62	V	114.5	114.0	-0.5	applied	-0.17	Duration: -0.5<br>In local context: V	2.2
K284-3 (D)	63	I	114.0	117.5	3.5	local	1.17	Duration: 3.5	31.2
K284-3 (D)	64	ii	117.5	117.0	-0.5	applied	-0.17	Duration: -0.5<br>In local context: ii	2.2
K284-3 (D)	65	I	117.0	117.5	0.5	local	0.17	Duration: 0.5	9.4
K284-3 (D)	66	V	117.5	118.0	0.5	applied	0.17	Duration: 0.5<br>In local context: V	9.4
K284-3 (D)	67	I	118.0	120.0	2.0	local	0.67	Duration: 2.0	20.3
K284-3 (D)	68	i	120.0	122.5	2.5	local	0.84	Duration: 2.5	23.9
K284-3 (D)	69	IV	122.5	123.0	0.5	applied	0.17	Duration: 0.5<br>In local context: IV	9.4
K284-3 (D)	70	i	123.0	125.0	2.0	local	0.67	Duration: 2.0	20.3
K284-3 (D)	71	v	125.0	128.0	3.0	local	1.01	Duration: 3.0	27.5
K284-3 (D)	72	IV	128.0	129.0	1.0	local	0.34	Duration: 1.0	13.0
K284-3 (D)	73	i	129.0	132.0	3.0	local	1.01	Duration: 3.0	27.5
K284-3 (D)	74	V	132.0	132.0	0.0	applied	0.0	Duration: 0.0<br>In local context: V	5.8
K284-3 (D)	75	i	132.0	134.0	2.0	local	0.67	Duration: 2.0	20.3
K284-3 (D)	76	IV	134.0	135.0	1.0	applied	0.34	Duration: 1.0<br>In local context: IV	13.0
K284-3 (D)	77	i	135.0	137.0	2.0	local	0.67	Duration: 2.0	20.3
K284-3 (D)	78	I	137.0	142.0	5.0	local	1.68	Duration: 5.0	42.0
K284-3 (D)	79	V	142.0	145.0	3.0	local	1.01	Duration: 3.0	27.5
K284-3 (D)	80	II	145.0	146.0	1.0	local	0.34	Duration: 1.0	13.0
K284-3 (D)	81	I	146.0	159.0	13.0	local	4.36	Duration: 13.0	100.0
K284-3 (D)	82	V	159.0	159.8	0.8	local	0.27	Duration: 0.8	11.6
K284-3 (D)	83	II	159.8	160.0	0.2	applied	0.07	Duration: 0.2<br>In local context: V	7.2
K284-3 (D)	84	V	160.0	160.5	0.5	local	0.17	Duration: 0.5	9.4
K284-3 (D)	85	vi	160.5	161.0	0.5	applied	0.17	Duration: 0.5<br>In local context: ii	9.4
K284-3 (D)	86	V	161.0	162.0	1.0	local	0.34	Duration: 1.0	13.0
K284-3 (D)	87	II	162.0	162.5	0.5	local	0.17	Duration: 0.5	9.4
K284-3 (D)	88	V	162.5	163.0	0.5	applied	0.17	Duration: 0.5<br>In local context: V	9.4
K284-3 (D)	89	I	163.0	163.5	0.5	local	0.17	Duration: 0.5	9.4
K284-3 (D)	90	IV	163.5	163.0	-0.5	applied	-0.17	Duration: -0.5<br>In local context: IV	2.2
K284-3 (D)	91	I	163.0	165.5	2.5	local	0.84	Duration: 2.5	23.9
K284-3 (D)	92	V	165.5	165.0	-0.5	applied	-0.17	Duration: -0.5<br>In local context: V	2.2
K284-3 (D)	93	I	165.0	167.5	2.5	local	0.84	Duration: 2.5	23.9
K284-3 (D)	94	IV	167.5	168.0	0.5	applied	0.17	Duration: 0.5<br>In local context: IV	9.4
K284-3 (D)	95	I	168.0	169.5	1.5	local	0.5	Duration: 1.5	16.7
K284-3 (D)	96	ii	169.5	170.0	0.5	applied	0.17	Duration: 0.5<br>In local context: ii	9.4
K284-3 (D)	97	I	170.0	173.5	3.5	local	1.17	Duration: 3.5	31.2
K284-3 (D)	98	IV	173.5	174.0	0.5	applied	0.17	Duration: 0.5<br>In local context: IV	9.4
K284-3 (D)	99	I	174.0	176.5	2.5	local	0.84	Duration: 2.5	23.9
K284-3 (D)	100	vi	176.5	176.0	-0.5	applied	-0.17	Duration: -0.5<br>In local context: ii	2.2
K284-3 (D)	101	V	176.0	176.5	0.5	local	0.17	Duration: 0.5	9.4
K284-3 (D)	102	II	176.5	177.0	0.5	applied	0.17	Duration: 0.5<br>In local context: V	9.4
K284-3 (D)	103	V	177.0	179.0	2.0	local	0.67	Duration: 2.0	20.3
K284-3 (D)	104	II	179.0	180.0	1.0	local	0.34	Duration: 1.0	13.0
K284-3 (D)	105	I	180.0	180.0	0.0	local	0.0	Duration: 0.0	5.8
K284-3 (D)	106	V	180.0	180.2	0.2	applied	0.07	Duration: 0.2<br>In local context: V	7.2
K284-3 (D)	107	I	180.2	180.5	0.3	local	0.1	Duration: 0.3	8.0
K284-3 (D)	108	IV	180.5	180.8	0.3	applied	0.1	Duration: 0.3<br>In local context: IV	8.0
K284-3 (D)	109	I	180.8	181.0	0.2	local	0.07	Duration: 0.2	7.2
K284-3 (D)	110	III	181.0	181.2	0.2	applied	0.07	Duration: 0.2<br>In local context: III	7.2
K284-3 (D)	111	I	181.2	181.5	0.3	local	0.1	Duration: 0.3	8.0
K284-3 (D)	112	II	181.5	181.8	0.3	applied	0.1	Duration: 0.3<br>In local context: II	8.0
K284-3 (D)	113	I	181.8	182.5	0.7	local	0.23	Duration: 0.7	10.9
K284-3 (D)	114	V	182.5	182.0	-0.5	applied	-0.17	Duration: -0.5<br>In local context: V	2.2
K284-3 (D)	115	I	182.0	185.5	3.5	local	1.17	Duration: 3.5	31.2
K284-3 (D)	116	vi	185.5	185.0	-0.5	applied	-0.17	Duration: -0.5<br>In local context: vi	2.2
K284-3 (D)	117	I	185.0	185.5	0.5	local	0.17	Duration: 0.5	9.4
K284-3 (D)	118	IV	185.5	186.0	0.5	applied	0.17	Duration: 0.5<br>In local context: IV	9.4
K284-3 (D)	119	I	186.0	186.5	0.5	local	0.17	Duration: 0.5	9.4
K284-3 (D)	120	IV	186.5	186.0	-0.5	applied	-0.17	Duration: -0.5<br>In local context: IV	2.2
K284-3 (D)	121	I	186.0	193.0	7.0	local	2.35	Duration: 7.0	56.5
K284-3 (D)	122	V	193.0	196.0	3.0	local	1.01	Duration: 3.0	27.5
K284-3 (D)	123	I	196.0	201.0	5.0	local	1.68	Duration: 5.0	42.0
K284-3 (D)	124	V	201.0	204.0	3.0	local	1.01	Duration: 3.0	27.5
K284-3 (D)	125	II	204.0	205.0	1.0	local	0.34	Duration: 1.0	13.0
K284-3 (D)	126	I	205.0	205.9	0.9	local	0.3	Duration: 0.9	12.3
K284-3 (D)	127	IV	205.9	206.1	0.2	applied	0.07	Duration: 0.2<br>In local context: IV	7.2
K284-3 (D)	128	I	206.1	207.5	1.4	local	0.47	Duration: 1.4	15.9
K284-3 (D)	129	V	207.5	207.0	-0.5	applied	-0.17	Duration: -0.5<br>In local context: V	2.2
K284-3 (D)	130	I	207.0	213.0	6.0	local	2.01	Duration: 6.0	49.3
K284-3 (D)	131	II	213.0	214.0	1.0	local	0.34	Duration: 1.0	13.0
K284-3 (D)	132	I	214.0	214.9	0.9	local	0.3	Duration: 0.9	12.3
K284-3 (D)	133	IV	214.9	215.1	0.2	applied	0.07	Duration: 0.2<br>In local context: IV	7.2
K284-3 (D)	134	I	215.1	216.5	1.4	local	0.47	Duration: 1.4	15.9
K284-3 (D)	135	V	216.5	216.0	-0.5	applied	-0.17	Duration: -0.5<br>In local context: V	2.2
K284-3 (D)	136	I	216.0	227.0	11.0	local	3.69	Duration: 11.0	85.5
K284-3 (D)	137	V	227.0	229.7	2.7	local	0.91	Duration: 2.7	25.4
K284-3 (D)	138	I	229.7	235.0	5.3	local	1.78	Duration: 5.3	44.2
K284-3 (D)	139	V	235.0	237.7	2.7	local	0.91	Duration: 2.7	25.4
K284-3 (D)	140	II	237.7	238.7	1.0	local	0.34	Duration: 1.0	13.0
K284-3 (D)	141	I	238.7	247.0	8.3	local	2.78	Duration: 8.3	65.9
K284-3 (D)	142	ii	247.0	247.2	0.2	applied	0.07	Duration: 0.2<br>In local context: ii	7.2
K284-3 (D)	143	I	247.2	247.3	0.1	local	0.03	Duration: 0.1	6.5
K284-3 (D)	144	ii	247.3	247.5	0.2	applied	0.07	Duration: 0.2<br>In local context: ii	7.2
K284-3 (D)	145	I	247.5	248.7	1.2	local	0.4	Duration: 1.2	14.5
K284-3 (D)	146	IV	248.7	249.0	0.3	applied	0.1	Duration: 0.3<br>In local context: IV	8.0
K284-3 (D)	147	I	249.0	255.0	6.0	local	2.01	Duration: 6.0	49.3
K284-3 (D)	148	V	255.0	255.3	0.3	applied	0.1	Duration: 0.3<br>In local context: V	8.0
K284-3 (D)	149	I	255.3	257.0	1.7	local	0.57	Duration: 1.7	18.1
K284-3 (D)	150	V	257.0	257.4	0.4	applied	0.13	Duration: 0.4<br>In local context: V	8.7
K284-3 (D)	151	I	257.4	260.0	2.6	local	0.87	Duration: 2.6	24.6
K284-3 (D)	152	V	12.0	12.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: V	9.4
K284-3 (D)	153	V	12.0	14.0	2.0	tonic of adjacent applied chord(s)	0.67	Duration: 2.0<br>Local harmony: V(64)	20.3
K284-3 (D)	154	V	29.0	29.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: V6	9.4
K284-3 (D)	155	V	29.0	31.0	2.0	tonic of adjacent applied chord(s)	0.67	Duration: 2.0<br>Local harmony: V(64)	20.3
K284-3 (D)	156	IV	36.0	37.0	1.0	tonic of adjacent applied chord(s)	0.34	Duration: 1.0<br>Local harmony: IV-ii6	13.0
K284-3 (D)	157	V	43.0	43.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: V7	9.4
K284-3 (D)	158	V	44.0	44.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: V7	9.4
K284-3 (D)	159	V	46.0	48.0	2.0	tonic of adjacent applied chord(s)	0.67	Duration: 2.0<br>Local harmony: V(#74)	20.3
K284-3 (D)	160	IV	49.0	50.0	1.0	tonic of adjacent applied chord(s)	0.34	Duration: 1.0<br>Local harmony: IV-ii6	13.0
K284-3 (D)	161	vi	53.0	53.0	0.0	tonic of adjacent applied chord(s)	0.0	Duration: 0.0<br>Local harmony: vi	5.8
K284-3 (D)	162	V	54.0	54.0	0.0	tonic of adjacent applied chord(s)	0.0	Duration: 0.0<br>Local harmony: V	5.8
K284-3 (D)	163	vi	57.0	57.2	0.2	tonic of adjacent applied chord(s)	0.07	Duration: 0.2<br>Local harmony: vi	7.2
K284-3 (D)	164	vi	57.5	57.8	0.3	tonic of adjacent applied chord(s)	0.1	Duration: 0.3<br>Local harmony: vi6	8.0
K284-3 (D)	165	II	57.0	58.0	1.0	tonic of adjacent applied chord(s)	0.34	Duration: 1.0<br>Local harmony: V	13.0
K284-3 (D)	166	V	61.2	61.5	0.3	tonic of adjacent applied chord(s)	0.1	Duration: 0.3<br>Local harmony: V	8.0
K284-3 (D)	167	vi	66.0	66.0	0.0	tonic of adjacent applied chord(s)	0.0	Duration: 0.0<br>Local harmony: vi	5.8
K284-3 (D)	168	IV	89.0	89.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: IV6	9.4
K284-3 (D)	169	V	97.0	97.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: V6	9.4
K284-3 (D)	170	V	97.0	98.0	1.0	tonic of adjacent applied chord(s)	0.34	Duration: 1.0<br>Local harmony: V(64)	13.0
K284-3 (D)	171	V	98.5	99.0	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: V	9.4
K284-3 (D)	172	ii	104.0	104.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: ii	9.4
K284-3 (D)	173	V	111.0	111.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: V65	9.4
K284-3 (D)	174	V	112.0	112.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: V65	9.4
K284-3 (D)	175	IV	112.0	112.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: IV	9.4
K284-3 (D)	176	V	114.0	114.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: V(64)	9.4
K284-3 (D)	177	V	113.5	114.0	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: V7	9.4
K284-3 (D)	178	V	114.0	116.0	2.0	tonic of adjacent applied chord(s)	0.67	Duration: 2.0<br>Local harmony: V(64)	20.3
K284-3 (D)	179	ii	117.0	117.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: ii	9.4
K284-3 (D)	180	IV	123.0	123.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: IV6	9.4
K284-3 (D)	181	V	131.0	132.0	1.0	tonic of adjacent applied chord(s)	0.34	Duration: 1.0<br>Local harmony: V\\	13.0
K284-3 (D)	182	V	132.0	133.0	1.0	tonic of adjacent applied chord(s)	0.34	Duration: 1.0<br>Local harmony: V	13.0
K284-3 (D)	183	IV	135.0	135.0	0.0	tonic of adjacent applied chord(s)	0.0	Duration: 0.0<br>Local harmony: IV6	5.8
K284-3 (D)	184	II	160.0	160.0	0.0	tonic of adjacent applied chord(s)	0.0	Duration: 0.0<br>Local harmony: V	5.8
K284-3 (D)	185	vi	161.0	161.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: ii	9.4
K284-3 (D)	186	V	162.2	162.5	0.3	tonic of adjacent applied chord(s)	0.1	Duration: 0.3<br>Local harmony: V65	8.0
K284-3 (D)	187	V	163.0	163.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: V65	9.4
K284-3 (D)	188	IV	163.0	164.0	1.0	tonic of adjacent applied chord(s)	0.34	Duration: 1.0<br>Local harmony: IV6-vi	13.0
K284-3 (D)	189	V	165.0	167.0	2.0	tonic of adjacent applied chord(s)	0.67	Duration: 2.0<br>Local harmony: V(9)	20.3
K284-3 (D)	190	IV	168.0	168.2	0.2	tonic of adjacent applied chord(s)	0.07	Duration: 0.2<br>Local harmony: IV6	7.2
K284-3 (D)	191	ii	170.0	170.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: ii	9.4
K284-3 (D)	192	IV	174.0	174.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: IV	9.4
K284-3 (D)	193	vi	176.0	176.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: ii	9.4
K284-3 (D)	194	II	177.0	177.0	0.0	tonic of adjacent applied chord(s)	0.0	Duration: 0.0<br>Local harmony: V6	5.8
K284-3 (D)	195	V	180.2	180.5	0.3	tonic of adjacent applied chord(s)	0.1	Duration: 0.3<br>Local harmony: V	8.0
K284-3 (D)	196	IV	180.8	181.0	0.2	tonic of adjacent applied chord(s)	0.07	Duration: 0.2<br>Local harmony: IV	7.2
K284-3 (D)	197	III	181.2	181.5	0.3	tonic of adjacent applied chord(s)	0.1	Duration: 0.3<br>Local harmony: III	8.0
K284-3 (D)	198	II	181.8	181.0	-0.8	tonic of adjacent applied chord(s)	-0.27	Duration: -0.8<br>Local harmony: II	0.0
K284-3 (D)	199	V	182.0	184.5	2.5	tonic of adjacent applied chord(s)	0.84	Duration: 2.5<br>Local harmony: V\\	23.9
K284-3 (D)	200	vi	185.0	185.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: vi	9.4
K284-3 (D)	201	IV	186.0	186.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: IV	9.4
K284-3 (D)	202	IV	186.0	186.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: IV	9.4
K284-3 (D)	203	IV	205.6	205.9	0.3	tonic of adjacent applied chord(s)	0.1	Duration: 0.3<br>Local harmony: IV	8.0
K284-3 (D)	204	IV	206.1	206.4	0.3	tonic of adjacent applied chord(s)	0.1	Duration: 0.3<br>Local harmony: IV	8.0
K284-3 (D)	205	V	207.0	207.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: V6	9.4
K284-3 (D)	206	V	207.0	208.0	1.0	tonic of adjacent applied chord(s)	0.34	Duration: 1.0<br>Local harmony: V\\	13.0
K284-3 (D)	207	IV	214.6	214.9	0.3	tonic of adjacent applied chord(s)	0.1	Duration: 0.3<br>Local harmony: IV	8.0
K284-3 (D)	208	IV	215.1	215.4	0.3	tonic of adjacent applied chord(s)	0.1	Duration: 0.3<br>Local harmony: IV	8.0
K284-3 (D)	209	V	216.0	216.5	0.5	tonic of adjacent applied chord(s)	0.17	Duration: 0.5<br>Local harmony: V6	9.4
K284-3 (D)	210	V	216.0	217.0	1.0	tonic of adjacent applied chord(s)	0.34	Duration: 1.0<br>Local harmony: V\\	13.0
K284-3 (D)	211	ii	247.2	247.3	0.1	tonic of adjacent applied chord(s)	0.03	Duration: 0.1<br>Local harmony: ii	6.5
K284-3 (D)	212	ii	247.5	247.7	0.2	tonic of adjacent applied chord(s)	0.07	Duration: 0.2<br>Local harmony: ii6	7.2
K284-3 (D)	213	V	254.7	255.0	0.3	tonic of adjacent applied chord(s)	0.1	Duration: 0.3<br>Local harmony: V	8.0
K284-3 (D)	214	V	255.3	255.7	0.4	tonic of adjacent applied chord(s)	0.13	Duration: 0.4<br>Local harmony: V	8.7
K284-3 (D)	215	V	256.7	257.0	0.3	tonic of adjacent applied chord(s)	0.1	Duration: 0.3<br>Local harmony: V	8.0
